Location,Time,Day of Week,Number of Drinks,Number of Pastries,Total Bill,Age
DIFC,Evening,Wednesday,6,4,42,36
DIFC,Morning,Sunday,6,3,39,36
DIFC,Morning,Monday,16,0,80,36
DIFC,Morning,Wednesday,4,0,20,36
DIFC,Morning,Monday,4,8,44,36
DIFC,Morning,Monday,16,8,104,36
DIFC,Morning,Monday,8,8,64,36
DIFC,Morning,Monday,8,8,64,36
DIFC,Morning,Monday,16,4,92,36
DIFC,Morning,Monday,8,4,52,36
DIFC,Morning,Monday,4,0,20,36
DIFC,Morning,Tuesday,16,4,92,37
DIFC,Morning,Sunday,3,0,15,37
DIFC,Afternoon,Friday,1,1,8,37
DIFC,Afternoon,Thursday,4,0,20,37
DIFC,Morning,Monday,16,0,80,37
DIFC,Evening,Saturday,1,1,8,37
DIFC,Morning,Monday,16,4,92,37
DIFC,Morning,Monday,4,0,20,37
DIFC,Morning,Monday,8,4,52,37
DIFC,Morning,Monday,4,8,44,37
DIFC,Morning,Monday,8,0,40,37
DIFC,Morning,Monday,16,8,104,37
DIFC,Evening,Sunday,1,0,5,38
DIFC,Afternoon,Monday,4,8,44,38
DIFC,Evening,Sunday,1,3,14,38
DIFC,Morning,Friday,4,0,20,38
DIFC,Afternoon,Tuesday,4,8,44,38
DIFC,Afternoon,Sunday,6,3,39,38
DIFC,Evening,Sunday,6,1,33,38
DIFC,Evening,Wednesday,8,4,52,38
DIFC,Evening,Thursday,6,2,36,38
DIFC,Evening,Monday,6,0,30,38
DIFC,Evening,Wednesday,4,4,32,38
DIFC,Morning,Monday,12,0,60,38
DIFC,Morning,Monday,12,0,60,38
DIFC,Morning,Monday,16,4,92,38
DIFC,Morning,Monday,12,8,84,38
DIFC,Morning,Monday,8,8,64,38
DIFC,Morning,Monday,16,0,80,38
DIFC,Morning,Monday,8,0,40,38
DIFC,Morning,Sunday,4,1,23,39
DIFC,Afternoon,Sunday,4,1,23,39
DIFC,Evening,Monday,6,0,30,39
DIFC,Morning,Saturday,3,0,15,39
DIFC,Afternoon,Thursday,4,0,20,39
DIFC,Evening,Saturday,4,1,23,39
DIFC,Afternoon,Sunday,4,0,20,39
DIFC,Afternoon,Sunday,6,0,30,39
DIFC,Morning,Monday,4,0,20,39
DIFC,Morning,Monday,8,8,64,39
DIFC,Morning,Monday,12,8,84,39
DIFC,Morning,Monday,8,4,52,39
DIFC,Morning,Monday,16,0,80,39
DIFC,Morning,Monday,12,0,60,39
DIFC,Afternoon,Wednesday,8,0,40,40
DIFC,Evening,Thursday,8,4,52,40
DIFC,Afternoon,Tuesday,12,0,60,40
DIFC,Evening,Tuesday,4,0,20,40
DIFC,Afternoon,Saturday,3,0,15,40
DIFC,Morning,Friday,3,3,24,40
DIFC,Evening,Monday,8,2,46,40
DIFC,Morning,Wednesday,4,4,32,40
DIFC,Morning,Saturday,3,1,18,40
DIFC,Afternoon,Saturday,4,0,20,40
DIFC,Morning,Saturday,1,0,5,40
DIFC,Afternoon,Friday,3,1,18,40
DIFC,Morning,Monday,4,0,20,40
DIFC,Morning,Monday,12,4,72,40
DIFC,Morning,Monday,8,8,64,40
DIFC,Afternoon,Wednesday,16,4,92,41
DIFC,Morning,Sunday,4,1,23,41
DIFC,Evening,Saturday,6,3,39,41
DIFC,Afternoon,Sunday,1,1,8,41
DIFC,Morning,Friday,6,3,39,41
DIFC,Evening,Tuesday,2,0,10,41
DIFC,Morning,Saturday,3,0,15,41
DIFC,Afternoon,Sunday,1,3,14,41
DIFC,Afternoon,Friday,1,0,5,41
DIFC,Afternoon,Thursday,4,4,32,41
DIFC,Afternoon,Wednesday,16,8,104,41
DIFC,Evening,Saturday,4,1,23,41
DIFC,Morning,Monday,12,0,60,41
DIFC,Morning,Monday,4,8,44,41
DIFC,Morning,Monday,16,8,104,41
DIFC,Morning,Monday,8,4,52,41
DIFC,Morning,Monday,12,0,60,41
DIFC,Morning,Monday,12,4,72,41
DIFC,Morning,Monday,16,0,80,41
DIFC,Morning,Monday,12,0,60,41
DIFC,Morning,Monday,8,0,40,41
DIFC,Morning,Monday,8,4,52,41
DIFC,Morning,Monday,4,8,44,41
DIFC,Morning,Monday,12,4,72,41
DIFC,Morning,Monday,4,8,44,41
DIFC,Evening,Thursday,4,4,32,42
DIFC,Evening,Friday,1,3,14,42
DIFC,Morning,Sunday,6,3,39,42
DIFC,Afternoon,Saturday,4,0,20,42
DIFC,Afternoon,Wednesday,4,4,32,42
DIFC,Evening,Monday,6,4,42,42
DIFC,Evening,Tuesday,6,4,42,42
DIFC,Evening,Thursday,4,4,32,42
DIFC,Afternoon,Tuesday,12,4,72,42
DIFC,Afternoon,Wednesday,8,4,52,42
DIFC,Morning,Friday,4,3,29,42
DIFC,Afternoon,Friday,1,0,5,42
DIFC,Evening,Friday,6,3,39,42
DIFC,Morning,Monday,16,0,80,42
DIFC,Morning,Monday,8,4,52,42
DIFC,Morning,Monday,4,8,44,42
DIFC,Morning,Monday,12,0,60,42
DIFC,Morning,Monday,12,4,72,42
DIFC,Afternoon,Sunday,3,0,15,43
DIFC,Afternoon,Saturday,1,1,8,43
DIFC,Evening,Saturday,3,1,18,43
DIFC,Evening,Thursday,2,4,22,43
DIFC,Evening,Wednesday,6,2,36,43
DIFC,Evening,Sunday,6,0,30,43
DIFC,Morning,Monday,12,0,60,43
DIFC,Evening,Tuesday,4,4,32,43
DIFC,Morning,Monday,4,8,44,43
DIFC,Morning,Monday,16,8,104,43
DIFC,Morning,Monday,16,0,80,43
DIFC,Morning,Monday,16,4,92,43
DIFC,Morning,Monday,16,0,80,43
DIFC,Evening,Wednesday,4,4,32,44
DIFC,Afternoon,Monday,4,8,44,44
DIFC,Afternoon,Wednesday,8,8,64,44
DIFC,Evening,Thursday,8,4,52,44
DIFC,Morning,Friday,4,0,20,44
DIFC,Morning,Sunday,1,0,5,44
DIFC,Morning,Friday,1,1,8,44
DIFC,Morning,Monday,8,4,52,44
DIFC,Morning,Monday,8,4,52,44
DIFC,Morning,Monday,16,4,92,44
DIFC,Morning,Monday,16,4,92,44
DIFC,Morning,Monday,16,4,92,44
DIFC,Morning,Monday,4,4,32,44
DIFC,Evening,Saturday,1,1,8,45
DIFC,Morning,Friday,4,1,23,45
DIFC,Morning,Thursday,8,8,64,45
DIFC,Evening,Monday,6,4,42,45
DIFC,Morning,Tuesday,8,4,52,45
DIFC,Afternoon,Tuesday,8,0,40,45
DIFC,Morning,Thursday,16,8,104,45
DIFC,Evening,Sunday,3,0,15,45
DIFC,Afternoon,Saturday,6,0,30,45
DIFC,Evening,Saturday,1,3,14,45
DIFC,Morning,Thursday,16,8,104,45
DIFC,Morning,Monday,12,8,84,45
DIFC,Morning,Monday,8,4,52,45
DIFC,Morning,Monday,4,8,44,45
DIFC,Morning,Monday,8,4,52,45
DIFC,Morning,Monday,16,4,92,45
DIFC,Morning,Monday,4,4,32,45
DIFC,Evening,Monday,6,0,30,46
DIFC,Afternoon,Thursday,16,4,92,46
DIFC,Morning,Sunday,1,3,14,46
DIFC,Afternoon,Thursday,16,4,92,46
DIFC,Afternoon,Monday,12,8,84,46
DIFC,Evening,Saturday,1,3,14,46
DIFC,Morning,Monday,4,0,20,46
DIFC,Morning,Monday,8,4,52,46
DIFC,Morning,Monday,4,4,32,46
DIFC,Morning,Monday,4,8,44,46
DIFC,Morning,Monday,4,0,20,46
DIFC,Morning,Monday,4,0,20,46
DIFC,Morning,Monday,16,0,80,46
DIFC,Morning,Monday,4,4,32,46
DIFC,Morning,Monday,16,0,80,46
DIFC,Afternoon,Saturday,3,0,15,47
DIFC,Morning,Thursday,12,4,72,47
DIFC,Afternoon,Wednesday,4,8,44,47
DIFC,Afternoon,Monday,8,8,64,47
DIFC,Morning,Saturday,3,3,24,47
DIFC,Morning,Tuesday,12,4,72,47
DIFC,Evening,Wednesday,4,4,32,47
DIFC,Morning,Monday,12,8,84,47
DIFC,Morning,Monday,8,4,52,47
DIFC,Morning,Monday,8,0,40,47
DIFC,Evening,Wednesday,4,4,32,48
DIFC,Evening,Friday,6,1,33,48
DIFC,Afternoon,Thursday,8,0,40,48
DIFC,Afternoon,Monday,4,8,44,48
DIFC,Afternoon,Wednesday,4,4,32,48
DIFC,Morning,Thursday,12,0,60,48
DIFC,Afternoon,Wednesday,8,4,52,48
DIFC,Evening,Saturday,1,1,8,48
DIFC,Morning,Monday,4,4,32,48
DIFC,Morning,Sunday,1,3,14,48
DIFC,Evening,Thursday,4,2,26,48
DIFC,Morning,Friday,4,3,29,48
DIFC,Morning,Monday,12,8,84,48
DIFC,Morning,Monday,16,0,80,48
DIFC,Morning,Monday,4,8,44,48
DIFC,Morning,Monday,8,8,64,48
DIFC,Morning,Monday,8,8,64,48
DIFC,Morning,Monday,12,4,72,48
DIFC,Morning,Monday,8,0,40,48
DIFC,Morning,Monday,12,4,72,48
DIFC,Morning,Monday,4,4,32,48
DIFC,Afternoon,Tuesday,8,8,64,49
DIFC,Afternoon,Wednesday,16,4,92,49
DIFC,Afternoon,Saturday,6,0,30,49
DIFC,Evening,Saturday,1,0,5,49
DIFC,Afternoon,Monday,4,4,32,49
DIFC,Evening,Friday,1,1,8,49
DIFC,Afternoon,Friday,1,1,8,49
DIFC,Evening,Monday,2,4,22,49
DIFC,Evening,Tuesday,2,2,16,49
DIFC,Evening,Thursday,2,2,16,49
DIFC,Evening,Friday,1,3,14,49
DIFC,Morning,Monday,4,4,32,49
DIFC,Morning,Monday,8,8,64,49
DIFC,Evening,Tuesday,6,4,42,50
DIFC,Afternoon,Monday,16,8,104,50
DIFC,Evening,Friday,4,3,29,50
DIFC,Evening,Saturday,4,3,29,50
DIFC,Afternoon,Sunday,6,1,33,50
DIFC,Evening,Wednesday,6,4,42,50
DIFC,Afternoon,Friday,3,1,18,50
DIFC,Afternoon,Saturday,3,3,24,50
DIFC,Morning,Monday,16,0,80,50
DIFC,Morning,Monday,16,4,92,50
DIFC,Morning,Monday,12,0,60,50
DIFC,Morning,Monday,16,4,92,50
DIFC,Morning,Monday,8,4,52,50
DIFC,Morning,Monday,12,4,72,50
DIFC,Morning,Monday,16,0,80,50
DIFC,Morning,Monday,16,8,104,50
DIFC,Morning,Monday,4,8,44,50
DIFC,Afternoon,Wednesday,8,0,40,51
DIFC,Evening,Thursday,2,0,10,51
DIFC,Morning,Wednesday,16,8,104,51
DIFC,Afternoon,Friday,1,3,14,51
DIFC,Morning,Monday,8,0,40,51
DIFC,Morning,Monday,8,4,52,51
DIFC,Morning,Monday,16,8,104,51
DIFC,Morning,Monday,12,8,84,51
DIFC,Morning,Monday,4,8,44,51
DIFC,Morning,Monday,4,0,20,51
DIFC,Afternoon,Tuesday,12,0,60,52
DIFC,Evening,Sunday,6,3,39,52
DIFC,Evening,Thursday,6,4,42,52
DIFC,Afternoon,Friday,1,0,5,52
DIFC,Evening,Wednesday,8,4,52,52
DIFC,Evening,Thursday,8,2,46,52
DIFC,Morning,Tuesday,16,0,80,52
DIFC,Morning,Monday,4,8,44,52
DIFC,Evening,Monday,6,2,36,52
DIFC,Morning,Monday,12,0,60,52
DIFC,Morning,Monday,16,8,104,52
DIFC,Morning,Monday,16,8,104,52
DIFC,Morning,Monday,16,0,80,52
DIFC,Morning,Monday,8,8,64,52
DIFC,Morning,Monday,4,8,44,52
DIFC,Morning,Monday,4,8,44,52
DIFC,Morning,Monday,4,8,44,52
DIFC,Evening,Thursday,2,0,10,53
DIFC,Morning,Sunday,6,3,39,53
DIFC,Morning,Tuesday,8,8,64,53
DIFC,Afternoon,Thursday,4,4,32,53
DIFC,Evening,Wednesday,8,4,52,53
DIFC,Evening,Sunday,6,1,33,53
DIFC,Evening,Tuesday,6,2,36,53
DIFC,Morning,Monday,4,8,44,53
DIFC,Morning,Monday,8,0,40,53
DIFC,Morning,Monday,8,0,40,53
DIFC,Morning,Monday,12,0,60,53
DIFC,Morning,Monday,16,0,80,53
DIFC,Morning,Monday,4,8,44,53
DIFC,Morning,Monday,12,0,60,53
DIFC,Morning,Monday,8,0,40,53
DIFC,Morning,Thursday,12,8,84,54
DIFC,Morning,Tuesday,16,4,92,54
DIFC,Morning,Saturday,3,0,15,54
DIFC,Evening,Wednesday,2,4,22,54
DIFC,Evening,Tuesday,2,2,16,54
DIFC,Morning,Sunday,6,3,39,54
DIFC,Morning,Saturday,1,0,5,54
DIFC,Afternoon,Thursday,12,4,72,54
DIFC,Morning,Monday,4,4,32,54
DIFC,Morning,Monday,4,8,44,54
DIFC,Morning,Monday,12,0,60,54
DIFC,Morning,Monday,12,8,84,54
DIFC,Morning,Monday,16,8,104,54
DIFC,Morning,Monday,4,4,32,54
DIFC,Morning,Monday,4,0,20,54
DIFC,Morning,Thursday,12,0,60,55
DIFC,Afternoon,Saturday,6,0,30,55
DIFC,Afternoon,Tuesday,4,4,32,55
DIFC,Evening,Monday,6,2,36,55
DIFC,Evening,Saturday,4,1,23,55
DIFC,Morning,Thursday,4,8,44,55
DIFC,Afternoon,Tuesday,8,4,52,55
DIFC,Afternoon,Tuesday,8,8,64,55
DIFC,Afternoon,Tuesday,16,0,80,55
DIFC,Morning,Monday,8,8,64,55
DIFC,Morning,Monday,12,4,72,55
DIFC,Morning,Monday,16,4,92,55
DIFC,Morning,Monday,8,8,64,55
DIFC,Morning,Monday,16,0,80,55
DIFC,Morning,Monday,8,0,40,55
DIFC,Morning,Monday,8,0,40,55
DIFC,Morning,Monday,12,4,72,55
DIFC,Morning,Monday,16,4,92,83
DIFC,Morning,Friday,3,3,24,76
DIFC,Afternoon,Thursday,12,0,60,75
DIFC,Evening,Sunday,6,1,33,82
DIFC,Morning,Thursday,16,0,80,64
DIFC,Evening,Tuesday,8,4,52,69
DIFC,Evening,Wednesday,4,4,32,84
DIFC,Evening,Friday,6,1,33,61
DIFC,Evening,Sunday,4,1,23,58
DIFC,Evening,Tuesday,6,4,42,59
DIFC,Evening,Sunday,1,1,8,56
DIFC,Morning,Wednesday,4,8,44,60
DIFC,Morning,Thursday,4,0,20,85
DIFC,Evening,Tuesday,2,4,22,68
DIFC,Evening,Wednesday,6,4,42,64
DIFC,Evening,Sunday,4,1,23,72
DIFC,Morning,Wednesday,4,0,20,63
DIFC,Afternoon,Wednesday,12,0,60,76
DIFC,Afternoon,Saturday,4,3,29,60
DIFC,Evening,Saturday,6,0,30,61
DIFC,Morning,Monday,16,4,92,73
DIFC,Morning,Wednesday,4,4,32,66
DIFC,Morning,Saturday,3,0,15,71
DIFC,Afternoon,Tuesday,8,4,52,79
DIFC,Afternoon,Friday,3,1,18,70
DIFC,Evening,Tuesday,4,4,32,72
DIFC,Evening,Friday,3,1,18,74
DIFC,Evening,Sunday,3,3,24,60
DIFC,Morning,Tuesday,4,8,44,82
DIFC,Afternoon,Saturday,6,1,33,81
DIFC,Evening,Friday,6,1,33,70
DIFC,Afternoon,Monday,8,8,64,58
DIFC,Evening,Tuesday,2,0,10,68
DIFC,Evening,Thursday,8,0,40,75
DIFC,Evening,Sunday,6,3,39,82
DIFC,Morning,Tuesday,16,4,92,80
DIFC,Morning,Saturday,1,3,14,74
DIFC,Afternoon,Saturday,6,1,33,59
DIFC,Evening,Wednesday,6,4,42,82
DIFC,Afternoon,Saturday,6,3,39,81
DIFC,Afternoon,Sunday,3,3,24,64
DIFC,Evening,Tuesday,4,4,32,67
DIFC,Evening,Friday,1,0,5,81
DIFC,Evening,Sunday,3,0,15,57
DIFC,Afternoon,Wednesday,12,8,84,68
DIFC,Afternoon,Friday,3,3,24,59
DIFC,Evening,Wednesday,4,4,32,64
DIFC,Evening,Saturday,3,3,24,72
DIFC,Morning,Friday,6,0,30,81
DIFC,Evening,Friday,3,3,24,82
DIFC,Evening,Saturday,6,3,39,76
DIFC,Afternoon,Tuesday,16,4,92,58
DIFC,Afternoon,Friday,1,1,8,64
DIFC,Afternoon,Sunday,4,1,23,68
DIFC,Morning,Monday,16,0,80,62
DIFC,Morning,Tuesday,16,8,104,83
DIFC,Morning,Thursday,12,0,60,74
DIFC,Afternoon,Monday,4,4,32,57
DIFC,Evening,Wednesday,6,2,36,81
DIFC,Evening,Thursday,6,4,42,72
DIFC,Morning,Tuesday,16,4,92,59
DIFC,Morning,Monday,12,8,84,75
DIFC,Morning,Monday,16,0,80,66
DIFC,Morning,Monday,4,0,20,65
DIFC,Morning,Monday,4,0,20,67
DIFC,Morning,Monday,8,4,52,74
DIFC,Morning,Monday,8,4,52,76
DIFC,Morning,Monday,12,8,84,74
DIFC,Morning,Monday,8,4,52,72
DIFC,Morning,Monday,16,0,80,85
DIFC,Morning,Monday,16,8,104,84
DIFC,Morning,Monday,4,8,44,71
DIFC,Morning,Monday,16,8,104,74
DIFC,Morning,Monday,4,0,20,59
DIFC,Morning,Monday,8,4,52,65
DIFC,Morning,Monday,4,0,20,57
DIFC,Morning,Monday,12,0,60,77
DIFC,Morning,Monday,4,4,32,75
DIFC,Morning,Monday,12,4,72,56
DIFC,Morning,Monday,8,0,40,61
DIFC,Morning,Monday,16,4,92,60
DIFC,Morning,Monday,16,4,92,79
DIFC,Morning,Monday,4,8,44,62
DIFC,Morning,Monday,16,0,80,68
DIFC,Morning,Monday,4,4,32,71
DIFC,Morning,Monday,16,4,92,79
DIFC,Morning,Monday,8,8,64,68
DIFC,Morning,Monday,8,8,64,75
DIFC,Morning,Monday,12,8,84,79
DIFC,Morning,Monday,8,0,40,66
DIFC,Morning,Monday,4,0,20,64
DIFC,Morning,Monday,4,8,44,61
DIFC,Morning,Monday,12,0,60,79
DIFC,Morning,Monday,4,0,20,70
DIFC,Morning,Monday,8,0,40,66
DIFC,Morning,Monday,12,8,84,63
DIFC,Morning,Monday,16,4,92,73
DIFC,Morning,Monday,8,0,40,64
DIFC,Morning,Monday,16,0,80,77
DIFC,Morning,Monday,16,0,80,72
DIFC,Morning,Monday,12,4,72,58
DIFC,Morning,Monday,16,0,80,71
DIFC,Morning,Monday,8,4,52,69
DIFC,Morning,Monday,16,8,104,69
DIFC,Morning,Monday,16,0,80,67
DIFC,Morning,Monday,12,4,72,78
DIFC,Morning,Monday,16,8,104,81
DIFC,Morning,Monday,8,4,52,62
DIFC,Morning,Monday,12,8,84,63
DIFC,Morning,Monday,4,4,32,63
DIFC,Morning,Monday,12,0,60,72
DIFC,Morning,Monday,4,0,20,66
DIFC,Morning,Monday,12,4,72,62
DIFC,Morning,Monday,8,4,52,73
DIFC,Morning,Monday,16,4,92,66
DIFC,Morning,Monday,12,4,72,72
DIFC,Morning,Monday,8,0,40,65
DIFC,Morning,Monday,12,0,60,74
DIFC,Morning,Monday,8,0,40,58
DIFC,Morning,Monday,4,0,20,69
DIFC,Morning,Monday,8,8,64,73
DIFC,Morning,Monday,12,4,72,70
DIFC,Morning,Monday,8,8,64,79
DIFC,Morning,Monday,12,4,72,73
DIFC,Morning,Monday,16,4,92,67
DIFC,Morning,Monday,4,4,32,59
DIFC,Morning,Monday,8,8,64,76
DIFC,Morning,Monday,12,0,60,81
DIFC,Morning,Monday,16,4,92,60
DIFC,Morning,Monday,12,0,60,70
DIFC,Morning,Monday,4,8,44,63
DIFC,Morning,Monday,12,4,72,72
DIFC,Morning,Monday,12,8,84,59
DIFC,Morning,Monday,4,0,20,68
DIFC,Morning,Monday,16,4,92,62
DIFC,Morning,Monday,16,4,92,69
DIFC,Morning,Monday,8,4,52,63
DIFC,Morning,Monday,8,8,64,61
DIFC,Morning,Monday,4,0,20,66
DIFC,Morning,Monday,8,0,40,77
DIFC,Morning,Monday,16,8,104,59
DIFC,Morning,Monday,16,8,104,74
DIFC,Morning,Monday,8,0,40,79
DIFC,Morning,Monday,12,4,72,68
DIFC,Morning,Monday,8,0,40,69
DIFC,Morning,Monday,8,8,64,71
DIFC,Morning,Monday,16,4,92,62
DIFC,Morning,Monday,12,4,72,60
DIFC,Morning,Monday,4,8,44,71
DIFC,Morning,Monday,4,8,44,58
DIFC,Morning,Monday,12,0,60,57
DIFC,Morning,Monday,16,0,80,85
DIFC,Morning,Monday,12,8,84,67
Dubai Mall,Afternoon,Saturday,1,0,5,18
Dubai Mall,Morning,Monday,0,0,0,19
Dubai Mall,Evening,Friday,1,1,8,20
Dubai Mall,Afternoon,Tuesday,1,0,5,20
Dubai Mall,Evening,Sunday,1,1,8,20
Dubai Mall,Morning,Saturday,1,0,5,20
Dubai Mall,Morning,Sunday,1,0,5,20
Dubai Mall,Afternoon,Wednesday,1,0,5,22
Dubai Mall,Evening,Thursday,0,0,0,22
Dubai Mall,Morning,Wednesday,1,0,5,22
Dubai Mall,Evening,Friday,0,1,3,23
Dubai Mall,Morning,Friday,1,0,5,24
Dubai Mall,Morning,Friday,2,0,10,25
Dubai Mall,Morning,Friday,1,1,8,26
Dubai Mall,Evening,Thursday,0,0,0,26
Dubai Mall,Afternoon,Wednesday,1,0,5,26
Dubai Mall,Morning,Wednesday,2,0,10,27
Dubai Mall,Afternoon,Tuesday,1,1,8,27
Dubai Mall,Morning,Tuesday,1,0,5,27
Dubai Mall,Evening,Wednesday,0,0,0,27
Dubai Mall,Evening,Thursday,0,1,3,28
Dubai Mall,Evening,Friday,2,0,10,29
Dubai Mall,Afternoon,Monday,1,1,8,30
Dubai Mall,Morning,Tuesday,1,0,5,30
Dubai Mall,Evening,Friday,16,0,80,18
Dubai Mall,Evening,Sunday,12,0,60,18
Dubai Mall,Afternoon,Monday,3,0,15,18
Dubai Mall,Morning,Thursday,1,2,11,18
Dubai Mall,Afternoon,Monday,1,0,5,18
Dubai Mall,Afternoon,Sunday,16,8,104,18
Dubai Mall,Morning,Sunday,16,4,92,18
Dubai Mall,Afternoon,Tuesday,2,2,16,18
Dubai Mall,Morning,Thursday,4,0,20,18
Dubai Mall,Morning,Tuesday,3,0,15,19
Dubai Mall,Evening,Thursday,3,2,21,19
Dubai Mall,Afternoon,Saturday,16,8,104,19
Dubai Mall,Evening,Monday,1,0,5,19
Dubai Mall,Morning,Friday,4,4,32,19
Dubai Mall,Evening,Monday,3,0,15,19
Dubai Mall,Evening,Saturday,16,0,80,19
Dubai Mall,Morning,Monday,1,2,11,19
Dubai Mall,Morning,Tuesday,4,2,26,19
Dubai Mall,Morning,Thursday,1,1,8,19
Dubai Mall,Afternoon,Monday,2,2,16,20
Dubai Mall,Evening,Tuesday,1,2,11,20
Dubai Mall,Morning,Friday,4,4,32,20
Dubai Mall,Afternoon,Monday,2,2,16,20
Dubai Mall,Evening,Sunday,4,0,20,20
Dubai Mall,Evening,Monday,2,1,13,20
Dubai Mall,Afternoon,Thursday,2,0,10,20
Dubai Mall,Morning,Wednesday,1,0,5,21
Dubai Mall,Evening,Monday,4,1,23,21
Dubai Mall,Morning,Friday,16,4,92,21
Dubai Mall,Morning,Friday,8,4,52,21
Dubai Mall,Morning,Thursday,1,2,11,21
Dubai Mall,Afternoon,Friday,4,8,44,21
Dubai Mall,Evening,Saturday,16,4,92,21
Dubai Mall,Evening,Monday,3,1,18,21
Dubai Mall,Afternoon,Thursday,3,0,15,21
Dubai Mall,Evening,Friday,4,4,32,21
Dubai Mall,Evening,Sunday,8,8,64,21
Dubai Mall,Afternoon,Thursday,4,0,20,22
Dubai Mall,Evening,Monday,3,0,15,22
Dubai Mall,Afternoon,Tuesday,2,0,10,22
Dubai Mall,Morning,Thursday,4,2,26,22
Dubai Mall,Afternoon,Saturday,16,8,104,22
Dubai Mall,Morning,Saturday,8,0,40,22
Dubai Mall,Morning,Sunday,12,8,84,22
Dubai Mall,Afternoon,Monday,4,0,20,22
Dubai Mall,Afternoon,Thursday,2,1,13,22
Dubai Mall,Evening,Tuesday,3,0,15,22
Dubai Mall,Morning,Wednesday,2,0,10,22
Dubai Mall,Afternoon,Sunday,16,4,92,22
Dubai Mall,Morning,Thursday,1,0,5,23
Dubai Mall,Afternoon,Saturday,4,0,20,23
Dubai Mall,Afternoon,Saturday,4,0,20,23
Dubai Mall,Evening,Tuesday,1,2,11,23
Dubai Mall,Morning,Thursday,4,2,26,23
Dubai Mall,Evening,Friday,4,4,32,23
Dubai Mall,Evening,Friday,4,0,20,23
Dubai Mall,Evening,Wednesday,4,1,23,23
Dubai Mall,Evening,Saturday,16,0,80,24
Dubai Mall,Morning,Saturday,12,0,60,24
Dubai Mall,Evening,Sunday,8,4,52,24
Dubai Mall,Afternoon,Wednesday,3,1,18,24
Dubai Mall,Evening,Tuesday,1,0,5,24
Dubai Mall,Morning,Sunday,4,8,44,24
Dubai Mall,Afternoon,Sunday,16,8,104,24
Dubai Mall,Afternoon,Wednesday,3,0,15,24
Dubai Mall,Morning,Thursday,2,2,16,24
Dubai Mall,Afternoon,Friday,12,8,84,24
Dubai Mall,Evening,Friday,16,0,80,25
Dubai Mall,Morning,Monday,3,0,15,25
Dubai Mall,Evening,Tuesday,1,0,5,25
Dubai Mall,Afternoon,Monday,1,2,11,25
Dubai Mall,Afternoon,Tuesday,3,1,18,25
Dubai Mall,Morning,Tuesday,4,0,20,25
Dubai Mall,Evening,Tuesday,4,0,20,25
Dubai Mall,Evening,Saturday,8,0,40,25
Dubai Mall,Afternoon,Wednesday,2,1,13,26
Dubai Mall,Afternoon,Monday,3,0,15,26
Dubai Mall,Afternoon,Sunday,4,4,32,26
Dubai Mall,Morning,Sunday,8,4,52,26
Dubai Mall,Afternoon,Thursday,4,1,23,26
Dubai Mall,Evening,Sunday,4,8,44,26
Dubai Mall,Evening,Sunday,8,8,64,26
Dubai Mall,Evening,Tuesday,4,1,23,26
Dubai Mall,Evening,Monday,3,1,18,26
Dubai Mall,Afternoon,Sunday,8,0,40,26
Dubai Mall,Evening,Tuesday,2,2,16,26
Dubai Mall,Afternoon,Friday,12,8,84,27
Dubai Mall,Evening,Sunday,4,0,20,27
Dubai Mall,Morning,Monday,3,1,18,27
Dubai Mall,Evening,Thursday,1,0,5,27
Dubai Mall,Morning,Monday,1,0,5,27
Dubai Mall,Morning,Tuesday,4,0,20,27
Dubai Mall,Morning,Thursday,2,0,10,27
Dubai Mall,Morning,Friday,16,4,92,27
Dubai Mall,Evening,Monday,2,2,16,27
Dubai Mall,Evening,Tuesday,1,2,11,27
Dubai Mall,Afternoon,Friday,8,4,52,27
Dubai Mall,Evening,Saturday,4,4,32,27
Dubai Mall,Morning,Saturday,16,4,92,27
Dubai Mall,Evening,Saturday,8,8,64,28
Dubai Mall,Afternoon,Sunday,8,0,40,28
Dubai Mall,Morning,Sunday,4,0,20,28
Dubai Mall,Evening,Wednesday,4,1,23,28
Dubai Mall,Evening,Wednesday,4,2,26,28
Dubai Mall,Evening,Thursday,4,1,23,28
Dubai Mall,Afternoon,Monday,3,1,18,29
Dubai Mall,Morning,Saturday,12,4,72,29
Dubai Mall,Evening,Friday,8,0,40,29
Dubai Mall,Afternoon,Friday,12,8,84,29
Dubai Mall,Morning,Friday,16,4,92,29
Dubai Mall,Evening,Sunday,8,4,52,29
Dubai Mall,Morning,Friday,16,0,80,29
Dubai Mall,Morning,Saturday,12,4,72,29
Dubai Mall,Morning,Thursday,2,1,13,29
Dubai Mall,Afternoon,Wednesday,2,0,10,29
Dubai Mall,Evening,Monday,1,1,8,29
Dubai Mall,Morning,Saturday,8,8,64,29
Dubai Mall,Afternoon,Saturday,4,4,32,29
Dubai Mall,Evening,Wednesday,2,2,16,30
Dubai Mall,Morning,Wednesday,4,2,26,30
Dubai Mall,Morning,Sunday,12,8,84,30
Dubai Mall,Afternoon,Tuesday,3,1,18,30
Dubai Mall,Afternoon,Thursday,2,2,16,30
Dubai Mall,Morning,Thursday,3,0,15,30
Dubai Mall,Morning,Thursday,1,2,11,31
Dubai Mall,Afternoon,Friday,12,4,72,31
Dubai Mall,Evening,Sunday,12,4,72,31
Dubai Mall,Morning,Sunday,12,0,60,31
Dubai Mall,Afternoon,Thursday,4,2,26,31
