Location,Time,Day of Week,Number of Drinks,Number of Pastries,Total Bill,Age,Age_group
DIFC,Morning,Monday,8,8,64,30,25-35
DIFC,Morning,Saturday,1,3,14,31,25-35
DIFC,Afternoon,Friday,6,0,30,31,25-35
DIFC,Evening,Monday,8,4,52,31,25-35
DIFC,Morning,Monday,16,8,104,31,25-35
DIFC,Morning,Friday,6,1,33,31,25-35
DIFC,Morning,Tuesday,16,8,104,31,25-35
DIFC,Morning,Thursday,12,4,72,31,25-35
DIFC,Afternoon,Thursday,16,0,80,31,25-35
DIFC,Afternoon,Monday,12,8,84,31,25-35
DIFC,Morning,Monday,8,8,64,31,25-35
DIFC,Morning,Friday,4,3,29,31,25-35
DIFC,Afternoon,Thursday,12,4,72,31,25-35
DIFC,Morning,Sunday,4,3,29,31,25-35
DIFC,Morning,Monday,16,8,104,31,25-35
DIFC,Morning,Monday,16,0,80,31,25-35
DIFC,Morning,Monday,4,8,44,31,25-35
DIFC,Morning,Monday,8,8,64,31,25-35
DIFC,Morning,Monday,16,8,104,31,25-35
DIFC,Morning,Monday,4,0,20,31,25-35
DIFC,Morning,Monday,4,8,44,31,25-35
DIFC,Morning,Monday,8,0,40,31,25-35
DIFC,Morning,Monday,12,8,84,31,25-35
DIFC,Morning,Monday,4,8,44,31,25-35
DIFC,Morning,Monday,16,0,80,32,25-35
DIFC,Morning,Sunday,1,3,14,32,25-35
DIFC,Afternoon,Tuesday,8,8,64,32,25-35
DIFC,Morning,Wednesday,4,8,44,32,25-35
DIFC,Morning,Saturday,1,0,5,32,25-35
DIFC,Evening,Monday,6,0,30,32,25-35
DIFC,Afternoon,Friday,1,0,5,32,25-35
DIFC,Morning,Saturday,6,0,30,32,25-35
DIFC,Afternoon,Friday,6,0,30,32,25-35
DIFC,Morning,Monday,4,8,44,32,25-35
DIFC,Morning,Monday,16,8,104,32,25-35
DIFC,Morning,Monday,12,0,60,32,25-35
DIFC,Morning,Monday,16,4,92,32,25-35
DIFC,Morning,Monday,12,4,72,32,25-35
DIFC,Morning,Monday,8,4,52,32,25-35
DIFC,Morning,Monday,8,8,64,32,25-35
DIFC,Morning,Monday,4,0,20,32,25-35
DIFC,Morning,Wednesday,8,8,64,33,25-35
DIFC,Morning,Friday,1,1,8,33,25-35
DIFC,Morning,Thursday,4,4,32,33,25-35
DIFC,Afternoon,Friday,3,0,15,33,25-35
DIFC,Afternoon,Saturday,4,3,29,33,25-35
DIFC,Evening,Friday,4,1,23,33,25-35
DIFC,Morning,Friday,4,0,20,33,25-35
DIFC,Morning,Saturday,1,0,5,33,25-35
DIFC,Evening,Monday,4,4,32,33,25-35
DIFC,Evening,Friday,1,3,14,33,25-35
DIFC,Morning,Sunday,6,0,30,33,25-35
DIFC,Morning,Sunday,4,1,23,33,25-35
DIFC,Afternoon,Wednesday,16,8,104,33,25-35
DIFC,Morning,Friday,1,0,5,33,25-35
DIFC,Morning,Monday,12,0,60,33,25-35
DIFC,Morning,Monday,16,0,80,33,25-35
DIFC,Morning,Monday,4,4,32,33,25-35
DIFC,Morning,Monday,12,8,84,33,25-35
DIFC,Morning,Monday,8,0,40,33,25-35
DIFC,Morning,Monday,4,4,32,33,25-35
DIFC,Morning,Monday,16,8,104,33,25-35
DIFC,Afternoon,Sunday,6,1,33,34,25-35
DIFC,Morning,Saturday,6,0,30,34,25-35
DIFC,Morning,Monday,8,0,40,34,25-35
DIFC,Afternoon,Saturday,1,1,8,34,25-35
DIFC,Morning,Wednesday,16,4,92,34,25-35
DIFC,Morning,Thursday,12,4,72,34,25-35
DIFC,Evening,Thursday,4,0,20,34,25-35
DIFC,Evening,Saturday,4,3,29,34,25-35
DIFC,Afternoon,Monday,12,8,84,34,25-35
DIFC,Morning,Friday,6,0,30,34,25-35
DIFC,Afternoon,Monday,12,4,72,34,25-35
DIFC,Morning,Thursday,12,0,60,34,25-35
DIFC,Evening,Monday,8,4,52,34,25-35
DIFC,Morning,Monday,12,8,84,34,25-35
DIFC,Morning,Monday,12,0,60,34,25-35
DIFC,Morning,Monday,8,0,40,34,25-35
DIFC,Evening,Tuesday,8,0,40,35,35-50
DIFC,Afternoon,Tuesday,12,0,60,35,35-50
DIFC,Morning,Sunday,3,1,18,35,35-50
DIFC,Afternoon,Sunday,1,3,14,35,35-50
DIFC,Afternoon,Saturday,1,3,14,35,35-50
DIFC,Evening,Sunday,3,0,15,35,35-50
DIFC,Morning,Friday,1,1,8,35,35-50
DIFC,Morning,Saturday,6,3,39,35,35-50
DIFC,Afternoon,Saturday,6,3,39,35,35-50
DIFC,Afternoon,Thursday,4,0,20,35,35-50
DIFC,Morning,Monday,12,8,84,35,35-50
DIFC,Morning,Monday,12,4,72,35,35-50
DIFC,Morning,Monday,8,8,64,35,35-50
DIFC,Morning,Monday,16,8,104,35,35-50
DIFC,Morning,Monday,12,8,84,35,35-50
DIFC,Morning,Monday,16,8,104,35,35-50
DIFC,Morning,Monday,12,8,84,35,35-50
DIFC,Morning,Monday,12,8,84,35,35-50
DIFC,Morning,Monday,12,8,84,35,35-50
DIFC,Evening,Wednesday,2,0,10,36,35-50
DIFC,Afternoon,Tuesday,8,8,64,36,35-50
DIFC,Evening,Wednesday,6,4,42,36,35-50
DIFC,Morning,Sunday,6,3,39,36,35-50
DIFC,Morning,Monday,16,0,80,36,35-50
DIFC,Morning,Wednesday,4,0,20,36,35-50
DIFC,Morning,Monday,4,8,44,36,35-50
DIFC,Morning,Monday,16,8,104,36,35-50
DIFC,Morning,Monday,8,8,64,36,35-50
DIFC,Morning,Monday,8,8,64,36,35-50
DIFC,Morning,Monday,16,4,92,36,35-50
DIFC,Morning,Monday,8,4,52,36,35-50
DIFC,Morning,Monday,4,0,20,36,35-50
DIFC,Morning,Tuesday,16,4,92,37,35-50
DIFC,Morning,Sunday,3,0,15,37,35-50
DIFC,Afternoon,Friday,1,1,8,37,35-50
DIFC,Afternoon,Thursday,4,0,20,37,35-50
DIFC,Morning,Monday,16,0,80,37,35-50
DIFC,Evening,Saturday,1,1,8,37,35-50
DIFC,Morning,Monday,16,4,92,37,35-50
DIFC,Morning,Monday,4,0,20,37,35-50
DIFC,Morning,Monday,8,4,52,37,35-50
DIFC,Morning,Monday,4,8,44,37,35-50
DIFC,Morning,Monday,8,0,40,37,35-50
DIFC,Morning,Monday,16,8,104,37,35-50
DIFC,Evening,Sunday,1,0,5,38,35-50
DIFC,Afternoon,Monday,4,8,44,38,35-50
DIFC,Evening,Sunday,1,3,14,38,35-50
DIFC,Morning,Friday,4,0,20,38,35-50
DIFC,Afternoon,Tuesday,4,8,44,38,35-50
DIFC,Afternoon,Sunday,6,3,39,38,35-50
DIFC,Evening,Sunday,6,1,33,38,35-50
DIFC,Evening,Wednesday,8,4,52,38,35-50
DIFC,Evening,Thursday,6,2,36,38,35-50
DIFC,Evening,Monday,6,0,30,38,35-50
DIFC,Evening,Wednesday,4,4,32,38,35-50
DIFC,Morning,Monday,12,0,60,38,35-50
DIFC,Morning,Monday,12,0,60,38,35-50
DIFC,Morning,Monday,16,4,92,38,35-50
DIFC,Morning,Monday,12,8,84,38,35-50
DIFC,Morning,Monday,8,8,64,38,35-50
DIFC,Morning,Monday,16,0,80,38,35-50
DIFC,Morning,Monday,8,0,40,38,35-50
DIFC,Morning,Sunday,4,1,23,39,35-50
DIFC,Afternoon,Sunday,4,1,23,39,35-50
DIFC,Evening,Monday,6,0,30,39,35-50
DIFC,Morning,Saturday,3,0,15,39,35-50
DIFC,Afternoon,Thursday,4,0,20,39,35-50
DIFC,Evening,Saturday,4,1,23,39,35-50
DIFC,Afternoon,Sunday,4,0,20,39,35-50
DIFC,Afternoon,Sunday,6,0,30,39,35-50
DIFC,Morning,Monday,4,0,20,39,35-50
DIFC,Morning,Monday,8,8,64,39,35-50
DIFC,Morning,Monday,12,8,84,39,35-50
DIFC,Morning,Monday,8,4,52,39,35-50
DIFC,Morning,Monday,16,0,80,39,35-50
DIFC,Morning,Monday,12,0,60,39,35-50
DIFC,Afternoon,Wednesday,8,0,40,40,35-50
DIFC,Evening,Thursday,8,4,52,40,35-50
DIFC,Afternoon,Tuesday,12,0,60,40,35-50
DIFC,Evening,Tuesday,4,0,20,40,35-50
DIFC,Afternoon,Saturday,3,0,15,40,35-50
DIFC,Morning,Friday,3,3,24,40,35-50
DIFC,Evening,Monday,8,2,46,40,35-50
DIFC,Morning,Wednesday,4,4,32,40,35-50
DIFC,Morning,Saturday,3,1,18,40,35-50
DIFC,Afternoon,Saturday,4,0,20,40,35-50
DIFC,Morning,Saturday,1,0,5,40,35-50
DIFC,Afternoon,Friday,3,1,18,40,35-50
DIFC,Morning,Monday,4,0,20,40,35-50
DIFC,Morning,Monday,12,4,72,40,35-50
DIFC,Morning,Monday,8,8,64,40,35-50
DIFC,Afternoon,Wednesday,16,4,92,41,35-50
DIFC,Morning,Sunday,4,1,23,41,35-50
DIFC,Evening,Saturday,6,3,39,41,35-50
DIFC,Afternoon,Sunday,1,1,8,41,35-50
DIFC,Morning,Friday,6,3,39,41,35-50
DIFC,Evening,Tuesday,2,0,10,41,35-50
DIFC,Morning,Saturday,3,0,15,41,35-50
DIFC,Afternoon,Sunday,1,3,14,41,35-50
DIFC,Afternoon,Friday,1,0,5,41,35-50
DIFC,Afternoon,Thursday,4,4,32,41,35-50
DIFC,Afternoon,Wednesday,16,8,104,41,35-50
DIFC,Evening,Saturday,4,1,23,41,35-50
DIFC,Morning,Monday,12,0,60,41,35-50
DIFC,Morning,Monday,4,8,44,41,35-50
DIFC,Morning,Monday,16,8,104,41,35-50
DIFC,Morning,Monday,8,4,52,41,35-50
DIFC,Morning,Monday,12,0,60,41,35-50
DIFC,Morning,Monday,12,4,72,41,35-50
DIFC,Morning,Monday,16,0,80,41,35-50
DIFC,Morning,Monday,12,0,60,41,35-50
DIFC,Morning,Monday,8,0,40,41,35-50
DIFC,Morning,Monday,8,4,52,41,35-50
DIFC,Morning,Monday,4,8,44,41,35-50
DIFC,Morning,Monday,12,4,72,41,35-50
DIFC,Morning,Monday,4,8,44,41,35-50
DIFC,Evening,Thursday,4,4,32,42,35-50
DIFC,Evening,Friday,1,3,14,42,35-50
DIFC,Morning,Sunday,6,3,39,42,35-50
DIFC,Afternoon,Saturday,4,0,20,42,35-50
DIFC,Afternoon,Wednesday,4,4,32,42,35-50
DIFC,Evening,Monday,6,4,42,42,35-50
DIFC,Evening,Tuesday,6,4,42,42,35-50
DIFC,Evening,Thursday,4,4,32,42,35-50
DIFC,Afternoon,Tuesday,12,4,72,42,35-50
DIFC,Afternoon,Wednesday,8,4,52,42,35-50
DIFC,Morning,Friday,4,3,29,42,35-50
DIFC,Afternoon,Friday,1,0,5,42,35-50
DIFC,Evening,Friday,6,3,39,42,35-50
DIFC,Morning,Monday,16,0,80,42,35-50
DIFC,Morning,Monday,8,4,52,42,35-50
DIFC,Morning,Monday,4,8,44,42,35-50
DIFC,Morning,Monday,12,0,60,42,35-50
DIFC,Morning,Monday,12,4,72,42,35-50
DIFC,Afternoon,Sunday,3,0,15,43,35-50
DIFC,Afternoon,Saturday,1,1,8,43,35-50
DIFC,Evening,Saturday,3,1,18,43,35-50
DIFC,Evening,Thursday,2,4,22,43,35-50
DIFC,Evening,Wednesday,6,2,36,43,35-50
DIFC,Evening,Sunday,6,0,30,43,35-50
DIFC,Morning,Monday,12,0,60,43,35-50
DIFC,Evening,Tuesday,4,4,32,43,35-50
DIFC,Morning,Monday,4,8,44,43,35-50
DIFC,Morning,Monday,16,8,104,43,35-50
DIFC,Morning,Monday,16,0,80,43,35-50
DIFC,Morning,Monday,16,4,92,43,35-50
DIFC,Morning,Monday,16,0,80,43,35-50
DIFC,Evening,Wednesday,4,4,32,44,35-50
DIFC,Afternoon,Monday,4,8,44,44,35-50
DIFC,Afternoon,Wednesday,8,8,64,44,35-50
DIFC,Evening,Thursday,8,4,52,44,35-50
DIFC,Morning,Friday,4,0,20,44,35-50
DIFC,Morning,Sunday,1,0,5,44,35-50
DIFC,Morning,Friday,1,1,8,44,35-50
DIFC,Morning,Monday,8,4,52,44,35-50
DIFC,Morning,Monday,8,4,52,44,35-50
DIFC,Morning,Monday,16,4,92,44,35-50
DIFC,Morning,Monday,16,4,92,44,35-50
DIFC,Morning,Monday,16,4,92,44,35-50
DIFC,Morning,Monday,4,4,32,44,35-50
DIFC,Evening,Saturday,1,1,8,45,35-50
DIFC,Morning,Friday,4,1,23,45,35-50
DIFC,Morning,Thursday,8,8,64,45,35-50
DIFC,Evening,Monday,6,4,42,45,35-50
DIFC,Morning,Tuesday,8,4,52,45,35-50
DIFC,Afternoon,Tuesday,8,0,40,45,35-50
DIFC,Morning,Thursday,16,8,104,45,35-50
DIFC,Evening,Sunday,3,0,15,45,35-50
DIFC,Afternoon,Saturday,6,0,30,45,35-50
DIFC,Evening,Saturday,1,3,14,45,35-50
DIFC,Morning,Thursday,16,8,104,45,35-50
DIFC,Morning,Monday,12,8,84,45,35-50
DIFC,Morning,Monday,8,4,52,45,35-50
DIFC,Morning,Monday,4,8,44,45,35-50
DIFC,Morning,Monday,8,4,52,45,35-50
DIFC,Morning,Monday,16,4,92,45,35-50
DIFC,Morning,Monday,4,4,32,45,35-50
DIFC,Evening,Monday,6,0,30,46,35-50
DIFC,Afternoon,Thursday,16,4,92,46,35-50
DIFC,Morning,Sunday,1,3,14,46,35-50
DIFC,Afternoon,Thursday,16,4,92,46,35-50
DIFC,Afternoon,Monday,12,8,84,46,35-50
DIFC,Evening,Saturday,1,3,14,46,35-50
DIFC,Morning,Monday,4,0,20,46,35-50
DIFC,Morning,Monday,8,4,52,46,35-50
DIFC,Morning,Monday,4,4,32,46,35-50
DIFC,Morning,Monday,4,8,44,46,35-50
DIFC,Morning,Monday,4,0,20,46,35-50
DIFC,Morning,Monday,4,0,20,46,35-50
DIFC,Morning,Monday,16,0,80,46,35-50
DIFC,Morning,Monday,4,4,32,46,35-50
DIFC,Morning,Monday,16,0,80,46,35-50
DIFC,Afternoon,Saturday,3,0,15,47,35-50
DIFC,Morning,Thursday,12,4,72,47,35-50
DIFC,Afternoon,Wednesday,4,8,44,47,35-50
DIFC,Afternoon,Monday,8,8,64,47,35-50
DIFC,Morning,Saturday,3,3,24,47,35-50
DIFC,Morning,Tuesday,12,4,72,47,35-50
DIFC,Evening,Wednesday,4,4,32,47,35-50
DIFC,Morning,Monday,12,8,84,47,35-50
DIFC,Morning,Monday,8,4,52,47,35-50
DIFC,Morning,Monday,8,0,40,47,35-50
DIFC,Evening,Wednesday,4,4,32,48,35-50
DIFC,Evening,Friday,6,1,33,48,35-50
DIFC,Afternoon,Thursday,8,0,40,48,35-50
DIFC,Afternoon,Monday,4,8,44,48,35-50
DIFC,Afternoon,Wednesday,4,4,32,48,35-50
DIFC,Morning,Thursday,12,0,60,48,35-50
DIFC,Afternoon,Wednesday,8,4,52,48,35-50
DIFC,Evening,Saturday,1,1,8,48,35-50
DIFC,Morning,Monday,4,4,32,48,35-50
DIFC,Morning,Sunday,1,3,14,48,35-50
DIFC,Evening,Thursday,4,2,26,48,35-50
DIFC,Morning,Friday,4,3,29,48,35-50
DIFC,Morning,Monday,12,8,84,48,35-50
DIFC,Morning,Monday,16,0,80,48,35-50
DIFC,Morning,Monday,4,8,44,48,35-50
DIFC,Morning,Monday,8,8,64,48,35-50
DIFC,Morning,Monday,8,8,64,48,35-50
DIFC,Morning,Monday,12,4,72,48,35-50
DIFC,Morning,Monday,8,0,40,48,35-50
DIFC,Morning,Monday,12,4,72,48,35-50
DIFC,Morning,Monday,4,4,32,48,35-50
DIFC,Afternoon,Tuesday,8,8,64,49,35-50
DIFC,Afternoon,Wednesday,16,4,92,49,35-50
DIFC,Afternoon,Saturday,6,0,30,49,35-50
DIFC,Evening,Saturday,1,0,5,49,35-50
DIFC,Afternoon,Monday,4,4,32,49,35-50
DIFC,Evening,Friday,1,1,8,49,35-50
DIFC,Afternoon,Friday,1,1,8,49,35-50
DIFC,Evening,Monday,2,4,22,49,35-50
DIFC,Evening,Tuesday,2,2,16,49,35-50
DIFC,Evening,Thursday,2,2,16,49,35-50
DIFC,Evening,Friday,1,3,14,49,35-50
DIFC,Morning,Monday,4,4,32,49,35-50
DIFC,Morning,Monday,8,8,64,49,35-50
DIFC,Evening,Tuesday,6,4,42,50,50+
DIFC,Afternoon,Monday,16,8,104,50,50+
DIFC,Evening,Friday,4,3,29,50,50+
DIFC,Evening,Saturday,4,3,29,50,50+
DIFC,Afternoon,Sunday,6,1,33,50,50+
DIFC,Evening,Wednesday,6,4,42,50,50+
DIFC,Afternoon,Friday,3,1,18,50,50+
DIFC,Afternoon,Saturday,3,3,24,50,50+
DIFC,Morning,Monday,16,0,80,50,50+
DIFC,Morning,Monday,16,4,92,50,50+
DIFC,Morning,Monday,12,0,60,50,50+
DIFC,Morning,Monday,16,4,92,50,50+
DIFC,Morning,Monday,8,4,52,50,50+
DIFC,Morning,Monday,12,4,72,50,50+
DIFC,Morning,Monday,16,0,80,50,50+
DIFC,Morning,Monday,16,8,104,50,50+
DIFC,Morning,Monday,4,8,44,50,50+
DIFC,Afternoon,Wednesday,8,0,40,51,50+
DIFC,Evening,Thursday,2,0,10,51,50+
DIFC,Morning,Wednesday,16,8,104,51,50+
DIFC,Afternoon,Friday,1,3,14,51,50+
DIFC,Morning,Monday,8,0,40,51,50+
DIFC,Morning,Monday,8,4,52,51,50+
DIFC,Morning,Monday,16,8,104,51,50+
DIFC,Morning,Monday,12,8,84,51,50+
DIFC,Morning,Monday,4,8,44,51,50+
DIFC,Morning,Monday,4,0,20,51,50+
DIFC,Afternoon,Tuesday,12,0,60,52,50+
DIFC,Evening,Sunday,6,3,39,52,50+
DIFC,Evening,Thursday,6,4,42,52,50+
DIFC,Afternoon,Friday,1,0,5,52,50+
DIFC,Evening,Wednesday,8,4,52,52,50+
DIFC,Evening,Thursday,8,2,46,52,50+
DIFC,Morning,Tuesday,16,0,80,52,50+
DIFC,Morning,Monday,4,8,44,52,50+
DIFC,Evening,Monday,6,2,36,52,50+
DIFC,Morning,Monday,12,0,60,52,50+
DIFC,Morning,Monday,16,8,104,52,50+
DIFC,Morning,Monday,16,8,104,52,50+
DIFC,Morning,Monday,16,0,80,52,50+
DIFC,Morning,Monday,8,8,64,52,50+
DIFC,Morning,Monday,4,8,44,52,50+
DIFC,Morning,Monday,4,8,44,52,50+
DIFC,Morning,Monday,4,8,44,52,50+
DIFC,Evening,Thursday,2,0,10,53,50+
DIFC,Morning,Sunday,6,3,39,53,50+
DIFC,Morning,Tuesday,8,8,64,53,50+
DIFC,Afternoon,Thursday,4,4,32,53,50+
DIFC,Evening,Wednesday,8,4,52,53,50+
DIFC,Evening,Sunday,6,1,33,53,50+
DIFC,Evening,Tuesday,6,2,36,53,50+
DIFC,Morning,Monday,4,8,44,53,50+
DIFC,Morning,Monday,8,0,40,53,50+
DIFC,Morning,Monday,8,0,40,53,50+
DIFC,Morning,Monday,12,0,60,53,50+
DIFC,Morning,Monday,16,0,80,53,50+
DIFC,Morning,Monday,4,8,44,53,50+
DIFC,Morning,Monday,12,0,60,53,50+
DIFC,Morning,Monday,8,0,40,53,50+
DIFC,Morning,Thursday,12,8,84,54,50+
DIFC,Morning,Tuesday,16,4,92,54,50+
DIFC,Morning,Saturday,3,0,15,54,50+
DIFC,Evening,Wednesday,2,4,22,54,50+
DIFC,Evening,Tuesday,2,2,16,54,50+
DIFC,Morning,Sunday,6,3,39,54,50+
DIFC,Morning,Saturday,1,0,5,54,50+
DIFC,Afternoon,Thursday,12,4,72,54,50+
DIFC,Morning,Monday,4,4,32,54,50+
DIFC,Morning,Monday,4,8,44,54,50+
DIFC,Morning,Monday,12,0,60,54,50+
DIFC,Morning,Monday,12,8,84,54,50+
DIFC,Morning,Monday,16,8,104,54,50+
DIFC,Morning,Monday,4,4,32,54,50+
DIFC,Morning,Monday,4,0,20,54,50+
DIFC,Morning,Thursday,12,0,60,55,50+
DIFC,Afternoon,Saturday,6,0,30,55,50+
DIFC,Afternoon,Tuesday,4,4,32,55,50+
DIFC,Evening,Monday,6,2,36,55,50+
DIFC,Evening,Saturday,4,1,23,55,50+
DIFC,Morning,Thursday,4,8,44,55,50+
DIFC,Afternoon,Tuesday,8,4,52,55,50+
DIFC,Afternoon,Tuesday,8,8,64,55,50+
DIFC,Afternoon,Tuesday,16,0,80,55,50+
DIFC,Morning,Monday,8,8,64,55,50+
DIFC,Morning,Monday,12,4,72,55,50+
DIFC,Morning,Monday,16,4,92,55,50+
DIFC,Morning,Monday,8,8,64,55,50+
DIFC,Morning,Monday,16,0,80,55,50+
DIFC,Morning,Monday,8,0,40,55,50+
DIFC,Morning,Monday,8,0,40,55,50+
DIFC,Morning,Monday,12,4,72,55,50+
DIFC,Morning,Monday,16,4,92,83,50+
DIFC,Morning,Friday,3,3,24,76,50+
DIFC,Afternoon,Thursday,12,0,60,75,50+
DIFC,Evening,Sunday,6,1,33,82,50+
DIFC,Morning,Thursday,16,0,80,64,50+
DIFC,Evening,Tuesday,8,4,52,69,50+
DIFC,Evening,Wednesday,4,4,32,84,50+
DIFC,Evening,Friday,6,1,33,61,50+
DIFC,Evening,Sunday,4,1,23,58,50+
DIFC,Evening,Tuesday,6,4,42,59,50+
DIFC,Evening,Sunday,1,1,8,56,50+
DIFC,Morning,Wednesday,4,8,44,60,50+
DIFC,Morning,Thursday,4,0,20,85,50+
DIFC,Evening,Tuesday,2,4,22,68,50+
DIFC,Evening,Wednesday,6,4,42,64,50+
DIFC,Evening,Sunday,4,1,23,72,50+
DIFC,Morning,Wednesday,4,0,20,63,50+
DIFC,Afternoon,Wednesday,12,0,60,76,50+
DIFC,Afternoon,Saturday,4,3,29,60,50+
DIFC,Evening,Saturday,6,0,30,61,50+
DIFC,Morning,Monday,16,4,92,73,50+
DIFC,Morning,Wednesday,4,4,32,66,50+
DIFC,Morning,Saturday,3,0,15,71,50+
DIFC,Afternoon,Tuesday,8,4,52,79,50+
DIFC,Afternoon,Friday,3,1,18,70,50+
DIFC,Evening,Tuesday,4,4,32,72,50+
DIFC,Evening,Friday,3,1,18,74,50+
DIFC,Evening,Sunday,3,3,24,60,50+
DIFC,Morning,Tuesday,4,8,44,82,50+
DIFC,Afternoon,Saturday,6,1,33,81,50+
DIFC,Evening,Friday,6,1,33,70,50+
DIFC,Afternoon,Monday,8,8,64,58,50+
DIFC,Evening,Tuesday,2,0,10,68,50+
DIFC,Evening,Thursday,8,0,40,75,50+
DIFC,Evening,Sunday,6,3,39,82,50+
DIFC,Morning,Tuesday,16,4,92,80,50+
DIFC,Morning,Saturday,1,3,14,74,50+
DIFC,Afternoon,Saturday,6,1,33,59,50+
DIFC,Evening,Wednesday,6,4,42,82,50+
DIFC,Afternoon,Saturday,6,3,39,81,50+
DIFC,Afternoon,Sunday,3,3,24,64,50+
DIFC,Evening,Tuesday,4,4,32,67,50+
DIFC,Evening,Friday,1,0,5,81,50+
DIFC,Evening,Sunday,3,0,15,57,50+
DIFC,Afternoon,Wednesday,12,8,84,68,50+
DIFC,Afternoon,Friday,3,3,24,59,50+
DIFC,Evening,Wednesday,4,4,32,64,50+
DIFC,Evening,Saturday,3,3,24,72,50+
DIFC,Morning,Friday,6,0,30,81,50+
DIFC,Evening,Friday,3,3,24,82,50+
DIFC,Evening,Saturday,6,3,39,76,50+
DIFC,Afternoon,Tuesday,16,4,92,58,50+
DIFC,Afternoon,Friday,1,1,8,64,50+
DIFC,Afternoon,Sunday,4,1,23,68,50+
DIFC,Morning,Monday,16,0,80,62,50+
DIFC,Morning,Tuesday,16,8,104,83,50+
DIFC,Morning,Thursday,12,0,60,74,50+
DIFC,Afternoon,Monday,4,4,32,57,50+
DIFC,Evening,Wednesday,6,2,36,81,50+
DIFC,Evening,Thursday,6,4,42,72,50+
DIFC,Morning,Tuesday,16,4,92,59,50+
DIFC,Morning,Monday,12,8,84,75,50+
DIFC,Morning,Monday,16,0,80,66,50+
DIFC,Morning,Monday,4,0,20,65,50+
DIFC,Morning,Monday,4,0,20,67,50+
DIFC,Morning,Monday,8,4,52,74,50+
DIFC,Morning,Monday,8,4,52,76,50+
DIFC,Morning,Monday,12,8,84,74,50+
DIFC,Morning,Monday,8,4,52,72,50+
DIFC,Morning,Monday,16,0,80,85,50+
DIFC,Morning,Monday,16,8,104,84,50+
DIFC,Morning,Monday,4,8,44,71,50+
DIFC,Morning,Monday,16,8,104,74,50+
DIFC,Morning,Monday,4,0,20,59,50+
DIFC,Morning,Monday,8,4,52,65,50+
DIFC,Morning,Monday,4,0,20,57,50+
DIFC,Morning,Monday,12,0,60,77,50+
DIFC,Morning,Monday,4,4,32,75,50+
DIFC,Morning,Monday,12,4,72,56,50+
DIFC,Morning,Monday,8,0,40,61,50+
DIFC,Morning,Monday,16,4,92,60,50+
DIFC,Morning,Monday,16,4,92,79,50+
DIFC,Morning,Monday,4,8,44,62,50+
DIFC,Morning,Monday,16,0,80,68,50+
DIFC,Morning,Monday,4,4,32,71,50+
DIFC,Morning,Monday,16,4,92,79,50+
DIFC,Morning,Monday,8,8,64,68,50+
DIFC,Morning,Monday,8,8,64,75,50+
DIFC,Morning,Monday,12,8,84,79,50+
DIFC,Morning,Monday,8,0,40,66,50+
DIFC,Morning,Monday,4,0,20,64,50+
DIFC,Morning,Monday,4,8,44,61,50+
DIFC,Morning,Monday,12,0,60,79,50+
DIFC,Morning,Monday,4,0,20,70,50+
DIFC,Morning,Monday,8,0,40,66,50+
DIFC,Morning,Monday,12,8,84,63,50+
DIFC,Morning,Monday,16,4,92,73,50+
DIFC,Morning,Monday,8,0,40,64,50+
DIFC,Morning,Monday,16,0,80,77,50+
DIFC,Morning,Monday,16,0,80,72,50+
DIFC,Morning,Monday,12,4,72,58,50+
DIFC,Morning,Monday,16,0,80,71,50+
DIFC,Morning,Monday,8,4,52,69,50+
DIFC,Morning,Monday,16,8,104,69,50+
DIFC,Morning,Monday,16,0,80,67,50+
DIFC,Morning,Monday,12,4,72,78,50+
DIFC,Morning,Monday,16,8,104,81,50+
DIFC,Morning,Monday,8,4,52,62,50+
DIFC,Morning,Monday,12,8,84,63,50+
DIFC,Morning,Monday,4,4,32,63,50+
DIFC,Morning,Monday,12,0,60,72,50+
DIFC,Morning,Monday,4,0,20,66,50+
DIFC,Morning,Monday,12,4,72,62,50+
DIFC,Morning,Monday,8,4,52,73,50+
DIFC,Morning,Monday,16,4,92,66,50+
DIFC,Morning,Monday,12,4,72,72,50+
DIFC,Morning,Monday,8,0,40,65,50+
DIFC,Morning,Monday,12,0,60,74,50+
DIFC,Morning,Monday,8,0,40,58,50+
DIFC,Morning,Monday,4,0,20,69,50+
DIFC,Morning,Monday,8,8,64,73,50+
DIFC,Morning,Monday,12,4,72,70,50+
DIFC,Morning,Monday,8,8,64,79,50+
DIFC,Morning,Monday,12,4,72,73,50+
DIFC,Morning,Monday,16,4,92,67,50+
DIFC,Morning,Monday,4,4,32,59,50+
DIFC,Morning,Monday,8,8,64,76,50+
DIFC,Morning,Monday,12,0,60,81,50+
DIFC,Morning,Monday,16,4,92,60,50+
DIFC,Morning,Monday,12,0,60,70,50+
DIFC,Morning,Monday,4,8,44,63,50+
DIFC,Morning,Monday,12,4,72,72,50+
DIFC,Morning,Monday,12,8,84,59,50+
DIFC,Morning,Monday,4,0,20,68,50+
DIFC,Morning,Monday,16,4,92,62,50+
DIFC,Morning,Monday,16,4,92,69,50+
DIFC,Morning,Monday,8,4,52,63,50+
DIFC,Morning,Monday,8,8,64,61,50+
DIFC,Morning,Monday,4,0,20,66,50+
DIFC,Morning,Monday,8,0,40,77,50+
DIFC,Morning,Monday,16,8,104,59,50+
DIFC,Morning,Monday,16,8,104,74,50+
DIFC,Morning,Monday,8,0,40,79,50+
